,job title,company name,job description
0,Data Science,Diverse Lynx,"Job DescriptionRole: Data Scientist, AI - Machine Learning Engineer Location: Dublin, OHJob Type: ContractResponsibilitiesJob Details:Drive innovation by evaluating business processes and identifying data science solutionsWork with business owners to understand the business problem and context with-in datasetsWork with data engineers to build mineable datasets, execute data mining activities providing insight from datasetsBuild AI / Client models from scratch and help stakeholders understand results Build accurate predictive machine learning models driving decision makingQualifications And ExperienceBS or MS (preferred). Degree in a quantitative field such as Computer Science, Quantitative Finance, Math, Statistics, or a related Engineering discipline is preferred.7&plus; years of experience in data science and machine learning. Strong experience in building models and developing machine learning algorithms, statistics, mathematical programming, and simulation for business use casesExperience in analyzing large-scale structured and unstructured data using PythonExperience with SQL in big data environments and data modelingExperience with statistics methods such as forecasting, time series, hypothesis testing, classification, clustering and regression analysis Experience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn, dplyr and machine learning libraries Experience building AI models in platforms such as Keras, TensorFlow, Theano, Pytorch.Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2Experience with code deployment, CI/CD DecOps tools.Experience with cloud technology such as GCP, AWS or AzureDiverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.Show moreShow less"
1,Data Analyst,The Freestore Foodbank,"Develop and implement data collection systems, data analytics, and other strategies that optimize data quality and accessibility. Acquire, filter, organize, and consolidate data from a variety of sources and databases. Interpret data and analyze results using statistical techniques to interpret trends or patterns in data sets. Create, maintain, and update reports and dashboards for staff to use on a regular basis. Develop and continuously improve existing dashboards with the focus on improving data accessibility and answering questions to improve decision making and business performance. Create data catalogues for all custom fields and add-ons for our core software systems. Establish data standards and formulate procedures for quality data collection to ensure accuracy and legitimacy of all data sources. Devise and implement efficient and secure procedures for data handling, sharing, and analysis. Provide training and support to end users to help them make effective use of all reports and dashboards. Troubleshoot data-related problems, discrepancies, and correct any inaccuracies. Work with management to establish metrics and prioritize business and information needs.Technical And Functional Skillset Should Include Familiarity of various reporting and data tools, such as Excel, Tableau, Power BI, and Crystal Reports. Comfortable with SQL with the ability to write views and queries as well as setup basic SQL server jobs for automating ongoing reporting functions. Knowledge of languages, such as R or Python, for more advanced data handling, shaping, and modeling.Work Experience/EducationRequired ExperienceBachelor’s Degree in Data Analytics, Data Science, Data Management, or similar related field Or 3+ years working in a Data Analytics Role.Job Specific AttributesExcellent critical thinking, problem solving and analytical skills with attention to detail. Ability to multi-task, effectively prioritize, and execute tasks.Self-starter, ability to work independently with minimal direct supervision. As well as the ability to work with staff at all levels of the organization.Customer service orientated with strong verbal and written communication skills.Freestore Foodbank is one of Ohio’s largest food banks. We distribute 34 million meals annually through a network of 600 community partners serving 20 counties in Ohio, Kentucky, and Indiana. Our mission is to provide food and services, create stability, and further self-reliance for people in crisis.Show moreShow less"
2,Data Scientist (REMOTE),Sedgwick,"Taking care of people is at the heart of everything we do, and we start by taking care of you, our valued colleague. A career at Sedgwick means experiencing our culture of caring. It means having flexibility and time for all the things that are important to you. It’s an opportunity to do something meaningful, each and every day. It’s having support for your mental, physical, financial and professional needs. It means sharpening your skills and growing your career. And it means working in an environment that celebrates diversity and is fair and inclusive.A career at Sedgwick is where passion meets purpose to make a positive impact on the world through the people and organizations we serve. If you are someone who is driven to make a difference, who enjoys a challenge and above all, if you’re someone who cares, there’s a place for you here. Join us and contribute to Sedgwick being a great place to work.Great Place to Work®Most Loved Workplace®Forbes Best-in-State EmployerData Scientist (REMOTE)Essential Responsibilities May IncludeExecute data science projects as identified by Sr Data Scientists, leadership, and stakeholdersHelp to build, prototype, and deploy machine learning models in sandbox and production environmentsProduce reports to communicate metrics and outcomes of stakeholder interestAssist with developing and maintaining end-to-end ETL data pipelinesWork to explore new internal data sources and their utility within projectsCommunicate modeling challenges, findings, and outcomes to stakeholders QualificationsBachelor's or advanced degree preferredMinimum one year of predictive modeling, data science, and analysis experience with solid background in the using data visualization tools and libraries and data exploration, data wrangling, and feature engineeringExperience writing Python or R code, and notebook environmentsKnowledge of writing code in Python or R, and notebook environmentsKnowledge of common unsupervised/supervised ML techniquesTaking Care of YouCareer development and promotional growth opportunitiesA diverse and comprehensive benefits offering including medical, dental vision, 401k, PTO and more#datascience#datascientistSedgwick is an Equal Opportunity Employer and a Drug-Free Workplace.If you're excited about this role but your experience doesn't align perfectly with every qualification in the job description, consider applying for it anyway! Sedgwick is building a diverse, equitable, and inclusive workplace and recognizes that each person possesses a unique combination of skills, knowledge, and experience. You may be just the right candidate for this or other roles.Show moreShow less"
3,Data Scientist,AML RightSource,"AML RightSource LLC (Cleveland, OH) seeks Data Scientist. Research/analyze/evaluate proprietary algorithms to support artificial intelligence, machine learning, & data analytics tools; implement algorithms in highly scalable, high-performance software; research/prototype/implement new methods to solve scalability & optimization issues; work w/ product development through full development cycle, from inception to prototyping & release. Work-from-home benefit anywhere in US. Up to 5% domestic & international travel. Requires Master’s in Computational Mathematics, Computational Physics, Statistics, Computer Science or related. Prior experience w/ or academic exposure to: implementing complex algorithms in high-performance scalable software; computational modeling using Python; coding programming solutions for large-scale parallel computing; utilizing regression methods, numerical linear algebra, Monte Carlo simulations, & optimization techniques; using scientific computing packages (i.e. NumPy, SciPy, Pandas); visualizing & presenting data using matplotlib & gnuplot; & w/ Linux/shell, Bitbucket/Git, machine learning, & cloud computing environments. Send resume referencing “Data Scientist” to Nailah Sta. Ana at nailah.sta.ana@amlrightsource.com or 1300 E 9th Street, Cleveland, OH 44114.Show moreShow less"
4,Data Scientist (REMOTE),Foot Locker,"OverviewThis role is 100% REMOTE - Must be in the US - EST/CST ONLYThe Data Scientist works with other team members and project managers developing sophisticated predictive models, mining large data sets for insights, building scalable data products, and growing the overall Data Science capability at Foot Locker working with a prioritized roadmap for projects. Our data scientists work on a wide range of problems improving Foot Locker’s omni channel business. You must be adept at using large data sets to find opportunities and using models to test the effectiveness of different courses of action. Experience in data analysis, visualization, building and scaling models is imperative. You will use your proven ability to drive business results with data-based insights and be comfortable working with a wide range of stakeholders and functional teams. You will leverage your passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Responsibilities Work with lead scientists and scrum masters to understand, contextualize, and solve the most challenging problems in Foot Locker’s analytical portfolioUnderstand business problems and design end to end analytics use cases.Partner with business tech leads to implement reusable and robust solutionsApply strong expertise in data science, machine-learning, data mining, and information retrieval to design, prototype and build the next generation analytics engine and services.Partner with data science leadership and engagement teams to present solutions and insights to business.Collaborate with software and data engineers to implement and deploy scalable solutions.Develop complex models and algorithms that drive innovation throughout the organization. This may include initiatives in understanding our Products, Customers, Operations, Footprint, etc. QualificationsTechnical Must Haves Bachleors degree regquired. Holding an advanced degree in mathematics, statistics, physics, economics, computer science, or related technical discipline is highly preferred.3 years minimum of professional experience in Data Science & Machine Learning (not including internships)Experience in the retail/e-commerce domain, specifically with merchandising and pricing.Deep knowledge of mathematical concepts, linear algebra, statistics & calculusAn advanced understanding of supervised and unsupervised learning techniques including variable selection, feature engineering, model selection, training/testing/validation, model diagnostics, and deployment  Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologiesAble to work with big data. Strong SQL skills; Spark/sql, pyspark, databricksSolid programming skills in python and common data science libraries (Scikit, Tensorflow, Pytorch, etc)Excellent data visualization skills: able to determine the appropriate visualization for a variety of data types and create compelling stories with data Nice To Have Experience with time series forecasting, optimization, neural networks.Kn owledge of cloud environments such as AzureUnderstanding of SDLC collaboration, including experience with tools such as GITUnderstanding of Agile methodologies and continuous deliveryCreation of visualizations in PowerBIShow moreShow less"
5,Data Scientist (Remote/Hybrid),Great American Insurance Group,"National Interstate is a member of Great American Insurance Group. As one of the leading commercial transportation insurers in the nation, we offer risk financing solutions in all 50 states tailored to meet the needs of a wide variety of transportation classes. Our offerings include traditional insurance and innovative alternative risk transfer (ART) programs, including more than a dozen group captive programs catering to niche wheels markets. We are proud to be a multiple Northcoast 99 winner and Cleveland Plain Dealer Top Workplace in Northeast Ohio. It is because of our talented and dedicated team that we are able to live out our company values of integrity, transparency, fairness, accountability, empowerment and collaboration with each transaction we make. If you are ready to join an engaging and driven team such as ours, we would love to hear from you!Essential Job Functions And ResponsibilitiesParticipates in the analysis of internal and external data to assess trends and assists in developing actionable insights and recommendations to management by understanding the business model and the information available for analysis.Uses data, statistical and quantitative analysis, explanatory and predictive modeling, and fact-based management to assist with decision making.Develops knowledge of business information data sources used to gain new insights and understanding of business performance based on data and statistical methods.Develops business knowledge and customer relationships.May estimate the economic impact of operational decisions.Assists in applying quantitative skills to solve business issues and prepares communications of results.Performs other duties as assigned.Job RequirementsEducation: Bachelor’s Degree or equivalent experience.Field of Study: Data Science, Analytics, Computer Science, Statistics or a related disciplineExperience: 3 to 5 years of related experience that includes use of the following, preferably in a business setting:R or PythonSQLGit or other version control systemMachine Learning and statistical methodsThis job is non-exempt in California and WashingtonCompanyNIC National Interstate CorporationBenefitsWe offer competitive healthcare, retirement and paid time off benefits.Show moreShow less"
6,Data Analyst,KUKA,"With guidance from senior Design and Consulting team members develop data driven solutions based on Swisslog products using client data. Interpret client’s data to give key insights into the day to day needs of their warehouses and distribution centers.Make an impactWith guidance from senior Design and Consulting team members develop data driven solutions based on Swisslog products using client data. Interpret client’s data to give key insights into the day to day needs of their warehouses and distribution centers.Data-analysis using tools like Excel, Python, Power BI, Tableau, SQLMathematical formulas commonly used in material handling businessDeveloping analytical tools and processes for efficient data analysisUnderstand basics in material handling systems (will get trainingUnderstand typical warehouse operations (will get training)Bring to the teamBachelor’s in Business, Applied Mathematics, Engineering or equivalent.Experience With Python, R Or Other Statistical SoftwareExperience in Data Visualization softwareExcellent oral and visual presentation skillsStrong Technical writing skillsStrong Problem solving and Critical thinking skillsProficient in PowerPoint, Word, Excel and project management software.Understands potential industry specific client’s business processes, drivers, issues and determining professional consulting and engineering solutions1 to 2 years of Data Analysis ExperienceOur promiseSwisslog provides you with the possibility to grow while working with us to deliver a game changing mission: to shape the future of intralogistics by introducing an era of robotic and data-driven automated solutions that create exceptional customer value. We are proud of our Swiss roots, while the opportunities we offer stretch across the globe. We don't expect perfection, but we do expect Collaboration, Commitment, Clarity, and Competence (our Core Values) from all our colleagues. In return, we offer you the chance to be part of the driving force behind solutions that are shaping the future, while we develop the leaders that will shape ours.About SwisslogSwisslog is shaping the #future of #intralogistics. As part of the KUKA Group, we are at the forefront of technology that is changing the world. Serving some of the biggest and most exciting brands across the globe, we're a team of 2,000 professionals and 50 nationalities, working together to transform intralogistics with smart minds and fresh perspectives. With our flexible, #robotic and #data-driven automated solutions, we are powering the supply chain and taking the industry forward. #JoinOurTeam and bring ideas to life!We OfferSwisslog offers challenging work in a globally networked environment as well as competitive base salary, comprehensive benefits including health/dental and 401k! United efforts of our employees represent the basis for developing and delivering the best solutions for our customers.Show moreShow less"
7,Bioinformatician Next Generation Sequencing Full-time Days Cleveland,University Hospitals,"DescriptionContributes to the design and development of new software and pipelines.Maintains existing software and hardware infrastructure within the laboratory.Improve workflow efficiency through development and implement of automation scripts under director of bioinformatics and others in bioinformatics team.Conduct data backups and implement redundancy measures.Perform high throughput data processing, analysis and visualization.Creates and maintains appropriate documentation for software, procedures, and LIS systems in collaboration with technical staff and medical staff.Creates reports, dashboards, and other analytical tools to support customer base.Build SQL queries.Collaborate with physicians, scientists and take direction from the director of bioinformatics.QualificationsBachelor Degree Master or Bachelors degree required.Excellent knowledge of Python is required.Experience with databases and SQL is required.Excellent knowledge of Linux, scripting is required.Experience with large datasets processing and analysis.Must have excellent communication skills.Previous experience in bioinformatics and genomic data analysis data is preferred.Ideal candidate will have experience working with machine learning and other algorithms.Prior experience working with PythonWeb platforms such as Django is a plus.Experience with Machine-learning algorithms and applications is a plus.Show moreShow less"
8,Data Analyst,CoStrategix,"Since 2006, CoStrategix has defined and implemented digital transformation initiatives, data & analytics capabilities, and digital commerce to Fortune 500 and mid market customers. CoStrategix brings thought leadership, strategy, and full end-to-end technology execution for organizations to transform and stay competitive in today’s digital world.As a Gixer (employee) at CoStrategix, you will have broad exposure to diverse industries and technologies. You will work on leading-edge digital projects in areas of Data Lakes, Data Warehouses, Data Analysis, Data Insights and Activation, Business Intelligence, Data Governance, and Metadata in an Agile process setting. CoStrategix operates at the leading edge of technologies.This role offers hybrid remote flexibility, based out of our culture hub located in Blue Ash, Ohio.About this role:The Data Analyst is a critical member of a team focused on the design, development, implementation, and maintenance of analytics databases. This position will be responsible for creating data models and SQL queries, and designing processes for data ingestion, data transformation, and data activation through BI and insights. The successful Data Analyst will stay current in the data domain and is eager to learn new technologies. They will look for opportunities to apply this learning to reduce delivery time, costs and/or deliver new insights or capabilities within a project(s).In this role you will:Consult with clients on their business needs and the data needed to fulfill those business needs.Translate client data needs into requirements for data models, data transformations, and data queries.Perform research & analysis into the domain of the work specific to a given client or dataset.Create data models, SQL scripts, and transformations, and validations needed to support the data warehouses.Analyze data sources for their accessibility and applicability to business problems.Incorporate performance improvements and industry best practices into SQL and data scripts.Validate data and the results obtained from queries or reports.Consult with clients in both business and technology dimensions and translate between them as needed.Identify, analyze, and interpret trends or patterns in complex data sets.Analyze, understand, and contribute to systems architecture and programming constructs such as APIs, data models, and ER diagrams.Communicate daily with other analysts, developers, project managers and Team leads on work status.Work with technical architects and developers to research and assess various technologies that can be used together to solve a business problem.Work with clients/testers to ensure the product meets the client requirements - in phases of data validation, user acceptance testing, etcWork with geographically cross-located teams.Exhibit strong competency in data mapping and SQL.Qualifications:Bachelor Degree in Math, Statistics, Computer Science, Information Technology or related field3+ years experience in data or business analysis2+ years of experience with SQLStrong competencies in Excel, Jupyter, Python, R or other similar analysis tools/languagesWorking knowledge of relational databasesUnderstanding of Data Warehouse architectureExperience with ETL concepts and ETL toolsExperience with Business Intelligence / Visualization toolsWe make CoStrategix an awesome place to work with a total rewards package that includes comprehensive benefits starting day 1. Benefits include: medical, dental, vision, disability & life insurances, EAP and 401(k) retirement. We are a flexible hybrid workplace committed to a culture of curiosity, collaboration, learning, self-improvement and last, but not least, fun. We have been named a finalist for the Cincinnati Business Courier's Best Places to Work Awards for 4 consecutive years.Do the Right Thing. Always.At CoStrategix, we are passionate about our core values. Diversity, equity & inclusion (DE&I) are part of our core values Every Gixer (employee) has an opportunity for success regardless of their race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. Creating an environment where everyone, from any background, can do their best work is the right thing to do.Show moreShow less"
9,AI/ML Data Scientist,Tenet3,"Tenet3 is a growing cybersecurity and systems analytics firm in Dayton, OH. We are looking for Scientists holding computer science, mathematics, statistics, computer engineering, or electrical engineering degrees to join our research staff.Tenet3 researchers apply advanced data analytics and machine learning to solve cybersecurity challenges, implement scalable computational analyses of customer data, and deliver insights to problems of national importance. Scientists also work with software engineering groups to create cutting edge services and capability in our flagship MeTRA® systems modeling and property graph calculation platform.Tenet3's R&D group is an excellent fit for individuals with superior problem-solving skills, with deep knowledge in machine learning or mathematical/statistical modeling, and excellent written and verbal communication skills. We value people who are comfortable knowing what they don't know and are teachable, and exhibits the necessary traits to grow as a mentor and leader.Summary Of ResponsibilitiesCarry out comprehensive analyses on data at scale using modern ML and statistical techniques. Write and publish code implementing data science, statistical and machine learning algorithms. Develop solution prototypes, technical demonstrations, and new capability to customers with small teams of R&D staff members. Maintain a portfolio of solutions under development through issue planning and tracking, road mapping, testing, and progress assessment. Coordinate with engineers across the organization to team and translate prototypes into practical tools. Create written and verbal internal and external communications for projects targeting relevant stakeholders. Interface with leadership, customer, and project managers to craft project concepts, understand new project requirements, and to evaluate customer needs. Travel requirement: minimal; up to 10%RequirementsAbility to obtain and maintain a Dept of Defense top secret security clearance. MS/PhD degree in Computer Science, Mathematics, Statistics, Data Science or Engineering. Academic or applied research experience in the field of data science, ML, AI, statistics, or software analysis. Proficiency with contemporary data science and machine learning tools in PythonExcellent writing, public speaking, and verbal communication skills. Team-player attitude, willing to accept from and offer direction to others. Preferred QualificationsSolutions implementation on Amazon AWS cloud services. Advanced ML model implementation, training and assessment using PyTorch. Team lead experience, or experiences demonstrating leadership capability. Previously obtained a DoD or DoE Security Clearance. Innovative and compelling R&D drives Tenet3's growth. Tenet3 provides equal employment opportunities to all employees and applicants for employment without regard to race, color, ancestry, national origin, gender, sexual orientation, marital status, religion, age, disability, gender identity, results of genetic testing, or service in the military. Equal employment opportunity applies to all terms and conditions of employment, including hiring, placement, promotion, termination, layoff, recall, transfer, leave of absence, compensation, and training.BenefitsHybrid-first working environment Generous PTOAdditional sick daysFloating holidays100% paid medical, vision, and dental for employee & familyHSA with company contributionsEducation reimbursement for higher education, conferences and self-study401(k) Retirement Plan with company match and profit sharingShort and Long-term DisabilityLife InsuranceCasual environment with smart, creative peopleFlex timeFree coffee and snacksPaid relocation availableShow moreShow less"
