job title,company name,job description
Data Scientist (Global Data & Analytics),Circle K,"Data Scientist (Global Data and Analytics)As a member of the Enterprise Data & Analytics Team, the Data Scientist is an everyday partner with multiple departments, including Global Marketing, Category Management, Shared Services & Finance, Global Technology, and Business Unit Leadership. This is a unique opportunity to work on a new, growing team within a large organization.The Data Scientist is responsible for delivering advanced analytics projects that drive business results. The ideal candidate should possess the ability to contribute to all aspects of project work, including interpreting business questions and desired outcomes, selecting the appropriate methodology, data cleaning, exploratory data analysis, model building, and creation of polished deliverables that are suitable for internal and external presentation.We are looking for an individual who is a proven problem solver with exceptional critical thinking ability. The candidate should have a high sense of curiosity and be comfortable with ambiguity when faced with a difficult challenge. Additionally, the candidate should possess the abilities to collaborate with others and simply and effectively communicate complex concepts with a non-technical audience.Responsibilities/AccountabilitiesDevelop advanced analytics and predictive models from design through implementation in the areas of pricing and promotion, marketing, merchandising, and other areas of the business as neededUtilize data mining and statistical techniques to derive business value from store, product, operations, financial, and customer transactional dataClearly and concisely explain complex analytical findings to non-analytical peers and business leadersProvide a strong analytical voice to the rest of the business and be an advocate for using analytics to solve problems and create business value Conduct ad-hoc analyses as requiredIdentify and explore potential improvements to our data & analytics infrastructure Knowledge, Skills And Other Qualifications RequiredWorking knowledge of R, Python, or other analytical programming languageAbility to query large data sets using SQL required and Spark experience is a plusExperience with cloud-based environments preferredExperience using Data visualization software such as Tableau or Power BIWorking knowledge of statistical and machine learning techniques such as regression, time series forecasting, clustering, optimization, causal inference, etc.Ability to write production-level code in Python is a plusExperience with complex distributed Data Engineering and ML systems deployed at scale is a plusExperience with Azure Databricks, Git, CICD practices and Agile methodology is a plus Strong interpersonal skills, including the ability to communicate the business benefits of analyticsAvailability to travel on an occasional basis not to exceed 25%Education/Training RequiredBachelor’s degree required, preferably with a quantitative focus (Statistics, Business Analytics, Data Science, Math, Economics, etc.)Master’s degree preferred1-2 years of experience in a data science/advanced analytics role, or demonstrated ability to perform job functions via academic project/internship experience Circle K is an Equal Opportunity Employer.The Company complies with the Americans with Disabilities Act (the ADA) and all state and local disability laws. Applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ADA and certain state or local laws as long as it does not impose an undue hardship on the Company. Please inform the Company’s Human Resources Representative if you need assistance completing any forms or to otherwise participate in the application process.Click below to review information about our company's use of the federal E-Verify program to check work eligibility:In EnglishIn SpanishR304616Show moreShow less"
Data Scientist Intern,"Airetel Staffing, Inc.","One of Airetel Staffing's valued clients is looking for a Data Scientist Intern located Phoenix, AZ. Our client is aggressively digitizing our business with significant investment along every dimension in this space. As part of this intensive effort, our CFR Global Decision Science organization has exciting opportunities available within our enterprise personalization decision science team for digitally savvy data scientist interns with strong background in machine learning, programming, exceptional quantitative and problem-solving skills.Our enterprise personalization data science team is responsible for developing, innovating, and integrating machine learning models into the Client digital prospect acquisition journey. The Research Assistant (intern) position is responsible for development of machine learning pipeline, analytical infrastructure, and capabilities to drive new customer acquisition.Learning outcome: Improvement on data analysis, machine learning techniques, data visualizationResponsibilities Develop and enhance machine learning pipeline using programming languages (Python, PySpark, SQL).Formulate business challenge to modeling problem and build machine learning models to drive business value.Track and measure model performance over the time. Research to bring new data and technique to further enhance model performance.Communication: Present results of complex analytic projects to business, non-technical audiences RequirementsMust have the following Technical Skills: Data analytics, data modeling, data mining and machine learningProgramming language: Python, SQL, bash shell scriptHadoop and related analytics technologies (MapReduce, Spark, Hive, )Airetel Staffing, Inc. is nationally recognized as Best of Staffing - Diamond Award Winner.For more details or to view other opportunities, visit us at www.airetel.com or call 214-353-0561.Show moreShow less"
Associate Data Scientist,Circle K,"Associate Data Scientist (Global Data and Analytics)As a member of the Enterprise Data & Analytics Team, the Associate Data Scientist is an everyday partner with multiple departments, including Global Marketing, Category Management, Shared Services & Finance, Global Technology, and Business Unit Leadership. This is a unique opportunity to work on a new, growing team within a large analytics organization.The Associate Data Scientist is involved in delivering advanced analytics projects that drive business results. The ideal candidate should possess the ability to contribute to most all aspects of project work, including interpreting business questions and desired outcomes, selecting the appropriate methodology, data cleaning, exploratory data analysis, model building, and creation of polished deliverables that are suitable for internal and external presentation.We are looking for an individual who is a problem solver with critical thinking ability. The candidate should have a high sense of curiosity and be comfortable with ambiguity when faced with a difficult challenge. Additionally, the candidate should possess the abilities to collaborate with others and simply and effectively communicate complex concepts with a non-technical audience.Responsibilities/AccountabilitiesDevelop advanced analytics and predictive models from design through implementation in the areas of pricing and promotion, marketing, merchandising, and other areas of the business as neededUtilize data mining and statistical techniques to derive business value from store, product, operations, financial, and customer transactional dataClearly and concisely explain complex analytical findings to non-analytical peers and business leadersConduct ad-hoc analyses as requiredOther duties as assignedKnowledge, Skills And Other Qualifications RequiredWorking knowledge of R, Python, or other analytical programming languageAbility to query large data sets using SQL or Spark; experience with cloud-based environments preferredExperience using Data visualization software such as Tableau or Power BIWorking knowledge of statistical and machine learning techniques such as regression, time series forecasting, clustering, optimization, etc.Strong interpersonal skills, including the ability to communicate the business benefits of analyticsAvailability to travel up to 25% of the timeEducation/Training RequiredBachelor’s degree required, in a discipline that provides training in advanced analytics and the associate technology (Statistics, Business Analytics, Data Science, Math, Economics, etc.)0-1 years of experience in a data science/advanced analytics role/internship, or demonstrated ability to perform job functions via academic project/internship experience Circle K is an Equal Opportunity Employer.The Company complies with the Americans with Disabilities Act (the ADA) and all state and local disability laws. Applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ADA and certain state or local laws as long as it does not impose an undue hardship on the Company. Please inform the Company’s Human Resources Representative if you need assistance completing any forms or to otherwise participate in the application process.Click below to review information about our company's use of the federal E-Verify program to check work eligibility:In EnglishIn SpanishR299765Show moreShow less"
Data Analyst,American Express,"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way. When you join #TeamAmex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day. We back our colleagues with the support they need to thrive, professionally and personally. That’s why we have Amex Flex, our enterprise working model that provides greater flexibility to colleagues while ensuring we preserve the important aspects of our unique in-person culture. Depending on role and business needs, colleagues will either work onsite, in a hybrid model (combination of in-office and virtual days) or fully virtually.Create and develop metrics in an objective and sustainable manner to identify performance trends and issues in a succinct and visual mannerDeliver high quality and accurate results in a timely mannerPrioritize day-to-day tasks and monthly/quarterly/annual deliverables with ad-hoc requests without impacting quality or timelinessAs a subject matter expert, the candidate will act in a lead role with cross-functional teams to understand metrics and reporting needsThe candidate will be involved in metrics needs assessments, along with the planning, collection, analysis, interpretation, and reporting of both quality and productivity metricsPrepares and delivers reports, recommendations or alternatives that address existing and potential trouble areas in procurement operationsManaging quality metrics & assist in standardization / continuous improvement and reengineering initiativesEnsure high degree of team cohesiveness & engagementEnsure compliance to standard American reporting techniquesPredictive Analysis and visualizations for senior leadership MISData mining using state-of-the-art methodsDeliver high quality and accurate results in a timely mannerEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad-hoc analysis and presenting results in a clear mannerCreating automated anomaly detection systems and constant tracking of its performanceRequired Qualifications: 2-6 years of experience in AnalyticsAdvanced MS Excel skills Strong communication and relationship building skillsProven strong performance behavior in previous roleBachelor’s degree relevant to the industry (other credentials will be a plus)Strong strategic thinking skills, with the ability to identify and assess key drivers of success, implications of alternatives and recommendations for executionPreferred Qualifications: Master's degree relevant to the industry (other credentials will be a plus) Strong analytical bend and experience on analytics tools like OBIEE, Tableau, SQL, AlteryxExcellent Visual Design skills with sensitivity to user-system interaction – experience in developing reporting solutions towards complex multi-paneled, interactive dashboardsSource to Pay Procurement knowledge would be preferredKnowledge of operational metrics, dashboard reporting, driving SLA driven deadlines and operations is a pre-requisiteCustomer management/ customer interface with experience and ability to proactively anticipate customer needs and identify their specific requirementsIndependent and self-motivated, capable of executing under uncertainty with multiple priorities, in a fast-paced environmentStrong strategic thinking skills, with the ability to identify and assess key drivers of success, implications of alternatives and recommendations for executionAmerican Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, age, or any other status protected by law. Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for this position.US Job Seekers/Employees - Click here to view the “EEO is the Law” poster and supplement and the Pay Transparency Policy Statement.If the links do not work, please copy and paste the following URLs in a new browser window: https://www.dol.gov/agencies/ofccp/posters to access the three posters.Salary Range: $70,000.00 to $135,000.00 annually + bonus + benefitsThe above represents the expected salary range for this job requisition. Ultimately, in determining your pay, we'll consider your location, experience, and other job-related factors.Show moreShow less"
Data Scientist,PayPal,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:A Data Scientist within the Fraud Defense Cyber Center will support incidents and investigations by extracting unique fingerprints, which can be operationalized to mitigate fraud and abuse.Job Description:At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.The Fraud Defense Cyber Center (FDCC) is a diverse team of cybersecurity, fraud, and risk experts who work with partners across PayPal to spearhead collaborations that achieve durable and holistic solutions to complex types of fraud. To support this goal, the FDCC has teams which support incidents and investigations by analyzing account information, network logs, and big data datasets. This analysis is critical in fingerprinting activity to assist with mitigations and driving solutions.We are looking for a passionate, highly talented, and self-driven Data Scientist to join our team. You should be eager to learn and able to analyze information and data with the goal of supporting fraud mitigation solutions.Your way to impactSupport Fraud Defense Cyber Center Incident Management teams to identify features and data points which can be leveraged to mitigate fraud and prevent future abuseSupport Risk and Information Security teams by operationalizing data produced in incident reviews that is accurate and well vettedLead analytical driven projects which quantify fraud and abuse risk, while staying organized, setting clear goals, and providing clear updates to progressYour day to dayTake leads from incidents, ad-hoc escalations, and identified emerging trends and produce data driven analysis to develop fraud stories and key indicators of abuse within the dataExtract fingerprints from data to effectively identify abuse and develop methodologies to ensure accuracyEffectively visualize the information to communicate insights to others and help create dashboards to support incidents and/or investigationsOperationalize the fingerprints and data driven insights with teams and/or tools to detect, challenge, and mitigate abusive traffic in support of an end-to-end holistic approach to risk and securityInteract with multiple teams and engage with both technical and non-technical teams to drive resolution to incidents and investigationsWhat You Need To BringCollege degree, preferably in a quantitative field (Math, Analytics, Computer Science, etc.), or equivalent work experience/industry certificationsProficient in working with large datasets and conducting detailed analysis to drive decisionsFamiliarity with financial fraud and abuse methodologies specific to fintechExperience with any or multiple of the following: Splunk (or similar SIEM tool), SQL, Python, R, Jupyter Notebooks, Teradata, HadoopExperience creating data visualizations, including dashboards and visuals to highlight important insightsBasic knowledge of computer networking and ability to understand network log dataAbility to follow change management processes and governanceWe know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply. Our Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0098798Show moreShow less"
Data Scientist,Experian,"Company DescriptionWe are currently seeking a highly innovative, passionate, and talented individual to drive innovation through Global Identity & Fraud, technology and analytics with an emphasis on accelerating new product development. This role is part of a small visionary solutions-oriented group developing and executing projects at the point where emerging data science and technology trends meet consumer and client needs, products, and services.We are looking for a versatile and experienced individual who can work across clients, business units, and regional teams. In this role, you will be a critical member of a fast-paced cross-functional development team focused on execution, so you must thrive in a time-constrained, multitasking environment.Job DescriptionThis position is part of Experian’s Global Identity & Fraud Product team, concentrating on research and development of novel analytical solutions, product prototyping, as well as new digital data asset evaluations, implementation, and modeling in support of our Device Intelligence portfolio. The hands-on role requires extensive data science and technical background and execution in machine learning and engineering prototypes. Previous experience analyzing large datasets and developing data-driven statistical models, particularly with digital, behavioral, and network signal data is desirable. Experience in risk-based authentication, digital identity recognition, or fraud analytics is a plus. This is an individual contributor role with the opportunity to grow into a leadership position.Key Responsibilities IncludeTeam up with clients and cross-business stakeholders to create new, future-oriented and differentiated digital capabilities for ExperianWork with Product and Engineering teams to analyze, develop, test, and implement models with device and behavioral data in support of Experian’s digital initiativesCollaborate with internal stakeholders such as Product, Analytics, Technology, Risk, Engineering, Sales, Marketing, and Account teams to ensure proper coordination and execution of projectsInvent, apply, and modify algorithms to solve challenging business problemsConduct ROI and benefit analysis, validate score performance, and implement new digital recognition models that maximize recognition and inform fraud capabilitiesDocument and present analytic processes and model performance to key business and client stakeholdersAnalyze, process, evaluate, and productize the use of large, complex data setsIdentify and develop appropriate machine learning / data mining / text mining analytics techniques to uncover and maximize the value of digital dataDesign data structure and data storage schemes for efficient data manipulation and information retrievalDevelop tools for data processing and information retrievalDevelop data-driven models to quantify the value of a given data setQualificationsAdvanced degree in Machine Learning, Engineering, Data Science, Computer Science, Physics, Statistics, Applied Math, or other quantitative fields5+ years of work experience in analytics, engineering, data science, and/or predictive modelingProficient in more than one of Python, R, Java, Spark, C++, or ScalaDemonstrated ability to independently lead and execute projects from start to finishProven track record in modifying and applying advanced algorithms to address practical problemsAbility to work independently on the development of complex models with extremely large and complex data structuresFamiliarity with scripting languages and Linux / Unix environmentsStrong written, oral, and data communication skillsPreferred Skills And ExperienceExperience with Hadoop and NoSQL related technologies such as Spark, Hive, Cassandra, MapReduce, Pig, HBase, mongoDB, etc.Experience with graph technologies and neural network, ensemble, and deep learning methodsExperience with semi-structured / non-structured data collected from SDK/Web collectors in support of risk-based authentication, digital identity recognition, and online / mobile fraud analyticsKnowledge of natural language processing / text mining techniques and related open-source toolsSolid knowledge of Bayesian statistical inference and related machine learning methodsExperience with Agile software development methodology, including CI/CD familiarity, as well as Docker and AirflowFamiliarity with agile frameworksAdditional InformationAll your information will be kept confidential according to EEO guidelines.Experian is proud to be an Equal Opportunity and Affirmative Action employer. Our goal is to create a thriving, inclusive and diverse team where people love their work and love working together. We believe that diversity, equity and inclusion is essential to our purpose of creating a better tomorrow. We value the uniqueness of every individual and want you to bring your whole, authentic self to work. For us, this is The Power of YOU and and it reflects what we believe. See our DEI work in action!If you live in Colorado, Connecticut or New York City, please contact us here for the salary range of this position (include the exact Job Title as it reads above in your email). In addition to a competitive base salary and variable pay opportunity, Experian offers a comprehensive benefits package including health, life and disability insurance, generous paid time off including parental and family care leave, an employee stock purchase plan and a 401(k) plan with a company match.Experian Careers - Creating a better tomorrow togetherFind out what its like to work for Experian by clicking hereShow moreShow less"
Data Scientist,PayPal,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:A Data Scientist within the Fraud Defense Cyber Center will support incidents and investigations by extracting unique fingerprints, which can be operationalized to mitigate fraud and abuse.Job Description:At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.The Fraud Defense Cyber Center (FDCC) is a diverse team of cybersecurity, fraud, and risk experts who work with partners across PayPal to spearhead collaborations that achieve durable and holistic solutions to complex types of fraud. To support this goal, the FDCC has teams which support incidents and investigations by analyzing account information, network logs, and big data datasets. This analysis is critical in fingerprinting activity to assist with mitigations and driving solutions.We are looking for a passionate, highly talented, and self-driven Data Scientist to join our team. You should be eager to learn and able to analyze information and data with the goal of supporting fraud mitigation solutions.Your way to impactSupport Fraud Defense Cyber Center Incident Management teams to identify features and data points which can be leveraged to mitigate fraud and prevent future abuseSupport Risk and Information Security teams by operationalizing data produced in incident reviews that is accurate and well vettedLead analytical driven projects which quantify fraud and abuse risk, while staying organized, setting clear goals, and providing clear updates to progressYour day to dayTake leads from incidents, ad-hoc escalations, and identified emerging trends and produce data driven analysis to develop fraud stories and key indicators of abuse within the dataExtract fingerprints from data to effectively identify abuse and develop methodologies to ensure accuracyEffectively visualize the information to communicate insights to others and help create dashboards to support incidents and/or investigationsOperationalize the fingerprints and data driven insights with teams and/or tools to detect, challenge, and mitigate abusive traffic in support of an end-to-end holistic approach to risk and securityInteract with multiple teams and engage with both technical and non-technical teams to drive resolution to incidents and investigationsWhat You Need To BringCollege degree, preferably in a quantitative field (Math, Analytics, Computer Science, etc.), or equivalent work experience/industry certificationsProficient in working with large datasets and conducting detailed analysis to drive decisionsFamiliarity with financial fraud and abuse methodologies specific to fintechExperience with any or multiple of the following: Splunk (or similar SIEM tool), SQL, Python, R, Jupyter Notebooks, Teradata, HadoopExperience creating data visualizations, including dashboards and visuals to highlight important insightsBasic knowledge of computer networking and ability to understand network log dataAbility to follow change management processes and governanceWe know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply. Our Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0098798Show moreShow less"
Summer 2023 - Data Science Intern,Shamrock Foods Company,"The Shamrock Professional Internship Program is a 12-week program focused on hands-on training in a variety of opportunities throughout the Shamrock Foods Company enterprise. As a Shamrock Student, you will be a part of a cohort of interns across the enterprise focused on real projects that impact the business. In addition to the work, you will do to support your department, you'll get to know your fellow interns through a variety of collaborative projects and events.Essential DutiesProvide support for the business intelligence team in an accurate and timely mannerParticipate in a pricing recommendation engine projectProduce fact-based recommendations from documented, reproducible analysis against large datasetsOther duties as assignedQualifications1+ year(s) educational experience and currently pursuing a degree from an accredited college or university with a focus on Computer Science, Data Science, Statistics/Mathematics, or related studiesMaintains a minimum GPA of 3.0 Must live in or near Phoenix, ArizonaStrong written and oral communication skillsStrong sense of urgency and accountabilityDemonstrates expertise in Microsoft Office suite (Excel, Outlook, Word)Ability to learn and act in a fast-paced environmentEffective task managementHigh level of motivation and adaptabilityGreat attitude and desire to learn and growCorporate SummaryAt Shamrock Foods Company, people come first – our associates, our customers, and the families we serve across the nation. A privately-held, family-owned and -operated Forbes 500 company, Shamrock is an innovator in the food industry and has been since being founded in Arizona in 1922.Our MissionAt Shamrock Foods Company, we live by our founding family’s motto to 'treat associates like family and customers like friends.'Why intern for us?Shamrock Foods Company is committed to a program that goes beyond your typical internship experience, giving interns the opportunity to start their career path. We offer great training and growth for college students to help interns apply their education towards solving business problems and working on hands-on projects in a workplace environment. Our interns are more than a temporary associate; they become part of our family.Equal Opportunity EmployerAt Shamrock Foods Co all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, sexual orientation, gender identity or any other basis protected by applicable law.Show moreShow less"
Summer 2023 - Machine Learning Intern,Shamrock Foods Company,"The Shamrock Professional Internship Program is a 12-week program focused on hands-on training in a variety of opportunities throughout the Shamrock Foods Company enterprise. As a Shamrock Student, you will be a part of a cohort of interns across the enterprise focused on real projects that impact the business. In addition to the work, you will do to support your department, you'll get to know your fellow interns through a variety of collaborative projects and events.Essential DutiesProvide support for the operations team in an accurate and timely mannerDevelop and deploy structured machine learning modelsParticipate in image classification and ability to extract text from imageDesign classification and regression modelsOther duties as assignedQualifications1+ year(s) educational experience and currently pursuing a degree from an accredited college or university with a focus on Data Science of Computer Science with an emphasis on Machine LearningMaintains a minimum GPA of 3.0 Must live in or near Phoenix, ArizonaStrong written and oral communication skillsStrong sense of urgency and accountabilityDemonstrates expertise in Microsoft Office suite (Excel, Outlook, Word)Ability to learn and act in a fast-paced environmentEffective task managementHigh level of motivation and adaptabilityGreat attitude and desire to learn and growCorporate SummaryAt Shamrock Foods Company, people come first – our associates, our customers, and the families we serve across the nation. A privately-held, family-owned and -operated Forbes 500 company, Shamrock is an innovator in the food industry and has been since being founded in Arizona in 1922.Our MissionAt Shamrock Foods Company, we live by our founding family’s motto to 'treat associates like family and customers like friends.'Why intern for us?Shamrock Foods Company is committed to a program that goes beyond your typical internship experience, giving interns the opportunity to start their career path. We offer great training and growth for college students to help interns apply their education towards solving business problems and working on hands-on projects in a workplace environment. Our interns are more than a temporary associate; they become part of our family.Equal Opportunity EmployerAt Shamrock Foods Co all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, sexual orientation, gender identity or any other basis protected by applicable law.Show moreShow less"
Entry Level Data Scientist,SynergisticIT,"About UsSynergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.Job DescriptionGood understanding of the below modelsIdentify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to Client trends and patternsClassifier, Random Forest Classifier, Nave Bayes, Support Vector MachineMachine Learning Algorithms - Linear Regression, Logistic Regression, Decision Tree Unsupervised/Clustering algorithmsNLP models, Deep Learning models for image classification Desired Candidate ProfileSkills RequiredHands on experience Python scriptingHands on experience in building Machine Learning and Artificial Intelligence modelsGood knowledge on Exploratory Data Analysis (EDA)Hands on experience on platforms - Microsoft Azure/Amazon Web ServicesLibraries – Numpy, Pands, Scikit learn, Seaborn, Plotly, TensorFLow, Should be able to do data visualisation using Tableau or Excel.Excellent English communication (both oral and written) and reading comprehension skills.Strong analytical and problem-solving skills, with clear attention to detail.Education Requirement: -Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.BenefitsOn Job Technical supportE- verified ClientsOPT letter for International StudentsFull time position Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.Who Should ApplyCandidates who have difficulty finding jobs even after completing their bachelors and masters. Candidates who are working on redundant technologies and want to become relevant again to boost their growth.Candidates who want to enhance their skill portfolio.Candidate who are open to invest 4-5 months in learning about Java or Data Science and then have a job in the Fortune 500 Companies. After training you will get an opportunity to work with companies like Apple, Google, Wells Fargo, Client, PayPal, eBay etc.*Checkout The Curriculum For Data Science Trackhttps://www.synergisticit.com/data-science-track/Checkout Our Blogshttps://www.synergisticit.com/blog/If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank youShow moreShow less"
